deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
57,2024-06-03 00:50:54,GALAUSDT,5m,long,1.57,0.04406,0.04482,0.04363,1.73,0.97,0.04413,0.04359,0.16,1.07,0.04364,-0.95,loss,2024-06-03 02:33:03,
58,2024-06-03 06:05:32,MATICUSDT,5m,short,1.69,0.6976,0.6871,0.7029,1.51,0.76,0.6936,0.7039,0.57,0.9,0.7039,-0.9,loss,2024-06-03 08:16:11,RSI:54;
59,2024-06-03 10:25:16,BNBUSDT,5m,short,1.0,625.2,617.99,631.44,1.15,1.0,622.7,632.8,0.4,1.22,632.6,-1.18,loss,2024-06-03 13:17:04,RSI:55;
60,2024-06-03 20:36:00,LUNAUSDT,5m,short,1.91,0.6511,0.6369,0.6577,2.18,1.02,0.6395,0.6581,1.78,1.08,0.6579,-1.04,loss,2024-06-04 17:43:04,
61,2024-06-05 01:26:02,EDUUSDT,5m,long,3.41,0.873,0.9182,0.8607,5.17,1.41,0.9091,0.8586,4.14,1.65,0.8587,-1.64,loss,2024-06-05 16:41:08,RSI:44;
62,2024-06-05 14:15:56,GALAUSDT,5m,short,1.26,0.04765,0.04665,0.04838,2.1,1.53,0.04663,0.04792,2.14,0.57,0.04668,2.04,win,2024-06-05 22:08:04,RSI:57;
63,2024-06-06 10:00:41,MAGICUSDT,5m,long,1.05,0.8927,0.9036,0.8837,1.22,1.0,0.9037,0.8885,1.23,0.47,0.9022,1.06,win,2024-06-06 13:02:03,
64,2024-06-06 13:11:03,FILUSDT,5m,short,1.18,6.05,5.965,6.114,1.41,1.05,5.951,6.067,1.64,0.28,5.953,1.6,win,2024-06-06 19:37:03,RSI:51;
65,2024-06-06 20:20:54,GALAUSDT,5m,long,4.87,0.04574,0.04836,0.04525,5.72,1.08,0.04598,0.04521,0.52,1.16,0.04522,-1.14,loss,2024-06-06 22:31:10,RSI:49;
66,2024-06-07 06:31:09,JOEUSDT,5m,long,1.06,0.4731,0.4779,0.4693,1.01,0.8,0.4783,0.4727,1.1,0.08,0.4783,1.1,win,2024-06-07 10:17:03,RSI:46;
67,2024-06-07 08:55:20,ADAUSDT,5m,short,3.51,0.4619,0.447,0.4657,3.23,0.82,0.4607,0.4658,0.26,0.84,0.4657,-0.82,loss,2024-06-07 12:02:03,RSI:55;
68,2024-06-07 15:25:29,OPUSDT,5m,short,1.75,2.518,2.465,2.545,2.11,1.08,2.46,2.538,2.3,0.79,2.461,2.26,win,2024-06-07 20:59:04,RSI:51;
69,2024-06-07 22:21:11,JOEUSDT,5m,long,1.82,0.4191,0.4425,0.4068,5.58,2.95,0.4321,0.4062,3.1,3.08,0.4068,-2.93,loss,2024-06-08 15:06:14,RSI:41;
70,2024-06-07 22:30:15,BNBUSDT,5m,long,2.22,680.4,696.01,674.16,2.29,0.92,694.9,673.8,2.13,0.97,674.2,-0.91,loss,2024-06-09 05:39:04,RSI:48;
71,2024-06-07 22:30:51,SUSHIUSDT,5m,long,2.82,1.052,1.261,0.9792,19.83,6.92,1.078,0.979,2.47,6.94,0.982,-6.65,loss,2024-06-11 15:41:22,RSI:42;
72,2024-06-07 22:30:55,GALAUSDT,5m,long,4.24,0.03961,0.04187,0.03912,5.71,1.25,0.04026,0.0391,1.64,1.29,0.03911,-1.26,loss,2024-06-08 13:23:07,RSI:44;
