deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,status,indicators
128,2023-06-06 15:25:23,MATICUSDT,5m,short,1.89,0.8129,0.800835,0.81917,1.48,0.77,0.8007,0.8142,win,
129,2023-06-06 15:30:18,APTUSDT,5m,short,5.59,7.8549,7.16235,7.97688,8.82,1.55,7.6166,8.0277,loss,
130,2023-06-06 15:35:25,MAGICUSDT,5m,short,1.97,0.8605,0.82117,0.880165,4.57,2.29,0.839,0.8857,loss,
131,2023-06-06 15:35:41,JOEUSDT,5m,short,3.61,0.4137,0.398025,0.417975,3.79,1.03,0.4082,0.4186,loss,
132,2023-06-06 15:40:12,ARBUSDT,5m,short,13.11,1.1139,0.89112,1.13062,20.0,1.5,1.1113,1.1322,loss,
133,2023-06-06 15:40:14,LTCUSDT,5m,short,3.59,86.26,83.695,86.963,2.97,0.81,85.68,87.1,loss,
134,2023-06-06 15:40:31,ATOMUSDT,5m,short,8.01,9.872,8.998,9.97935,8.85,1.09,9.803,9.993,loss,
135,2023-06-06 15:40:33,LINAUSDT,5m,short,5.74,0.013915,0.0134001,0.01400335,3.7,0.63,0.013902,0.014044,loss,
136,2023-06-06 15:55:18,LTCUSDT,5m,short,5.79,86.5,83.707,86.975,3.23,0.55,85.68,87.1,loss,
137,2023-06-06 16:00:39,SUIUSDT,5m,short,2.19,0.772,0.7511,0.781405,2.71,1.22,0.7553,0.783,loss,
138,2023-06-06 16:00:41,LUNAUSDT,5m,short,2.76,0.7565,0.70273,0.77569,7.11,2.54,0.75,0.7762,loss,
139,2023-06-06 16:10:15,ADAUSDT,5m,short,25.3,0.345,0.269285,0.347945,21.95,0.85,0.3365,0.3499,loss,
140,2023-06-06 16:10:19,APTUSDT,5m,short,5.13,7.7416,7.156685,7.85389,7.56,1.45,7.6166,7.8742,loss,
141,2023-06-06 16:10:27,MAGICUSDT,5m,short,1.85,0.8486,0.820575,0.863515,3.3,1.76,0.839,0.8636,loss,
142,2023-06-06 16:10:39,LUNAUSDT,5m,short,2.78,0.7566,0.702735,0.775695,7.12,2.52,0.75,0.7762,loss,
143,2023-06-06 16:15:38,ATOMUSDT,5m,short,32.96,9.837,7.03735,9.9206,28.46,0.85,9.803,9.921,loss,
144,2023-06-06 16:15:45,FILUSDT,5m,short,20.8,4.168,3.5657,4.1965,14.45,0.68,4.143,4.215,loss,
145,2023-06-06 16:40:25,DYDXUSDT,5m,short,17.04,1.92,1.55805,1.9409,18.85,1.09,1.919,1.944,loss,
146,2023-06-06 16:40:39,JOEUSDT,5m,short,2.1,0.4083,0.397755,0.41324,2.58,1.21,0.4082,0.4146,loss,
147,2023-06-06 16:45:30,MASKUSDT,5m,long,1.82,4.173,4.37535,4.06375,4.85,2.62,4.356,4.063,loss,
148,2023-06-06 17:00:23,OPUSDT,5m,long,4.43,1.49,1.53275,1.4805,2.87,0.64,1.533,1.49,win,
149,2023-06-06 17:05:25,MATICUSDT,5m,long,7.16,0.8113,0.88806,0.800755,9.46,1.3,0.8147,0.8007,loss,
150,2023-06-06 17:10:31,ATOMUSDT,5m,long,2.17,10.068,10.21905,9.9996,1.5,0.68,10.079,9.996,loss,
151,2023-06-06 17:10:39,EDUUSDT,5m,long,7.07,1.01,1.0974475,0.9978305,8.66,1.2,1.01976,0.99679,loss,
152,2023-06-06 17:25:30,ATOMUSDT,5m,long,3.23,10.05,10.21815,9.9987,1.67,0.51,10.219,10.014,win,
153,2023-06-06 17:45:25,MATICUSDT,5m,short,2.45,0.8065,0.790445,0.81296,1.99,0.8,0.7994,0.8221,loss,
154,2023-06-06 18:15:37,GALAUSDT,5m,short,3.19,0.02716,0.0259915,0.027521,4.3,1.33,0.02704,0.02757,loss,
155,2023-06-06 18:15:44,EDUUSDT,5m,short,3.27,0.99134,0.9564085,1.0018375,3.52,1.06,0.97,1.00191,loss,
156,2023-06-06 18:20:15,DOTUSDT,5m,short,2.62,5.065,4.989,5.0935,1.5,0.56,5.061,5.098,loss,
157,2023-06-06 18:20:23,MAGICUSDT,5m,short,2.39,0.8862,0.85314,0.899785,3.73,1.53,0.8847,0.8998,loss,
158,2023-06-06 18:20:25,DYDXUSDT,5m,short,2.84,1.954,1.90745,1.97015,2.38,0.83,1.952,1.975,loss,
159,2023-06-06 18:50:34,LINAUSDT,5m,long,2.11,0.014209,0.0146536,0.0140019,3.13,1.46,0.014708,0.014153,win,
160,2023-06-06 19:05:06,BTCUSDT,5m,long,3.16,26169.6,26911.9965,25938.0375,2.84,0.88,26959.99,26100.0,win,
161,2023-06-06 19:05:20,DOTUSDT,5m,long,3.14,5.097,5.2091,5.06185,2.2,0.69,5.214,5.084,win,
162,2023-06-06 19:05:34,ETCUSDT,5m,long,3.02,17.27,17.707,17.1275,2.53,0.83,17.68,17.08,loss,
163,2023-06-06 22:25:19,APTUSDT,5m,long,6.05,8.2181,8.511935,8.170315,3.58,0.58,8.3542,8.1703,loss,
164,2023-06-06 22:25:30,DYDXUSDT,5m,long,2.53,2.084,2.1182,2.0707,1.64,0.64,2.12,2.082,win,
165,2023-06-06 22:30:36,GALAUSDT,5m,long,3.79,0.02766,0.0283915,0.02747,2.64,0.69,0.02802,0.02746,loss,
166,2023-06-06 22:40:21,DOGEUSDT,5m,short,4.47,0.07082,0.0688345,0.071257,2.8,0.62,0.07073,0.07132,loss,
167,2023-06-06 22:40:44,PEPEUSDT,5m,long,4.92,1.21e-06,1.305e-06,1.191e-06,7.85,1.57,1.23e-06,1.19e-06,loss,
168,2023-06-06 22:45:21,OPUSDT,5m,long,7.63,1.488,1.5469,1.4804,3.96,0.51,1.499,1.48,loss,
169,2023-06-06 22:50:36,LUNAUSDT,5m,long,6.63,0.8109,0.85631,0.804155,5.6,0.83,0.8167,0.8039,loss,
170,2023-06-06 22:55:30,SUSHIUSDT,5m,long,12.4,0.77,0.82985,0.76525,7.77,0.62,0.77,0.765,loss,
