deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
74,2023-06-22 23:30:25,DYDXUSDT,5m,short,1.64,1.845,1.823,1.856,1.17,0.59,1.822,1.855,1.25,0.54,1.826,1.03,win,2023-06-23 01:59:17,
75,2023-06-22 23:30:27,MASKUSDT,5m,short,2.27,3.756,3.673,3.788,2.22,0.86,3.737,3.789,0.51,0.88,3.786,-0.8,loss,2023-06-23 03:15:47,
76,2023-06-22 23:30:41,JOEUSDT,5m,short,1.33,0.3937,0.3901,0.3959,0.91,0.55,0.3937,0.396,0.0,0.58,0.3959,-0.56,loss,2023-06-22 23:46:15,
77,2023-06-23 00:00:16,APTUSDT,5m,long,1.19,7.51,7.58,7.463,0.93,0.64,7.513,7.459,0.04,0.68,7.463,-0.63,loss,2023-06-23 00:15:43,
78,2023-06-23 00:05:41,EDUUSDT,5m,long,1.31,0.8029,0.8206,0.7904,2.2,1.55,0.8042,0.7864,0.16,2.06,0.7913,-1.44,loss,2023-06-23 00:30:45,
79,2023-06-23 00:15:18,APTUSDT,5m,short,2.27,7.463,7.309,7.522,2.07,0.8,7.303,7.464,2.14,0.01,7.303,2.14,win,2023-06-23 12:48:11,
80,2023-06-23 00:20:10,TRXUSDT,5m,short,3.11,0.07173,0.07019,0.07215,2.15,0.59,0.07153,0.07218,0.28,0.63,0.07218,-0.63,loss,2023-06-23 02:59:19,
81,2023-06-23 01:20:15,APTUSDT,5m,short,2.18,7.424,7.301,7.472,1.66,0.64,7.289,7.463,1.82,0.53,7.316,1.45,win,2023-06-23 12:49:11,
82,2023-06-23 01:25:31,GALAUSDT,5m,short,1.43,0.02511,0.02473,0.02534,1.5,0.91,0.02474,0.02535,1.47,0.96,0.02534,-0.92,loss,2023-06-23 11:28:18,
83,2023-06-23 01:30:31,GALAUSDT,5m,short,1.56,0.02506,0.02448,0.0254,2.3,1.34,0.02474,0.02545,1.28,1.56,0.02545,-1.56,loss,2023-06-23 18:00:50,
84,2023-06-23 01:35:10,LUNCUSDT,5m,short,5.03,9.126e-05,8.726e-05,9.197e-05,4.38,0.78,9.04e-05,9.217e-05,0.94,1.0,9.208e-05,-0.9,loss,2023-06-23 03:37:18,
85,2023-06-23 01:40:10,ARBUSDT,5m,short,6.7,1.096,1.022,1.106,6.77,0.92,1.082,1.118,1.28,2.01,1.118,-2.01,loss,2023-06-23 09:55:45,
86,2023-06-23 01:50:32,GALAUSDT,5m,short,1.34,0.025,0.02447,0.02536,2.11,1.44,0.02474,0.02537,1.04,1.48,0.02536,-1.44,loss,2023-06-23 11:29:15,
87,2023-06-23 01:55:16,APTUSDT,5m,short,1.14,7.365,7.217,7.484,2.01,1.61,7.289,7.489,1.03,1.68,7.481,-1.58,loss,2023-06-23 18:04:12,
88,2023-06-23 01:55:17,SOLUSDT,5m,short,3.32,16.6,16.104,16.732,2.99,0.8,16.57,16.74,0.18,0.84,16.71,-0.66,loss,2023-06-23 03:13:20,
89,2023-06-23 01:55:22,MAGICUSDT,5m,short,4.38,0.7995,0.7645,0.8067,4.37,0.9,0.793,0.8075,0.81,1.0,0.8074,-0.99,loss,2023-06-23 09:55:56,
90,2023-06-23 01:55:24,DYDXUSDT,5m,short,3.69,1.83,1.779,1.842,2.8,0.66,1.821,1.844,0.49,0.77,1.843,-0.71,loss,2023-06-23 04:14:15,
91,2023-06-23 01:55:25,MASKUSDT,5m,short,1.34,3.746,3.686,3.786,1.6,1.06,3.737,3.789,0.24,1.15,3.786,-1.07,loss,2023-06-23 03:15:47,
92,2023-06-23 01:55:27,ETCUSDT,5m,short,9.24,16.63,15.718,16.714,5.48,0.51,16.56,16.72,0.42,0.54,16.71,-0.48,loss,2023-06-23 03:13:16,
93,2023-06-23 01:55:38,PEPEUSDT,5m,short,2.76,1.53e-06,1.426e-06,1.566e-06,6.8,2.35,1.52e-06,1.57e-06,0.65,2.61,1.56e-06,-1.96,loss,2023-06-23 02:24:20,
94,2023-06-23 02:00:14,LTCUSDT,5m,short,1.2,85.29,84.258,86.022,1.21,0.86,85.23,86.06,0.07,0.9,86.01,-0.84,loss,2023-06-23 02:28:17,
95,2023-06-23 02:00:35,LUNAUSDT,5m,short,1.14,0.6284,0.6238,0.6315,0.74,0.5,0.6282,0.6317,0.03,0.53,0.6309,-0.4,loss,2023-06-23 02:02:18,
96,2023-06-23 02:55:32,SUIUSDT,5m,short,1.11,0.8028,0.7889,0.8141,1.73,1.41,0.7781,0.8115,3.08,1.08,0.7877,1.88,win,2023-06-23 12:18:18,
97,2023-06-23 03:05:11,ARBUSDT,5m,long,3.67,1.093,1.116,1.088,2.11,0.47,1.118,1.091,2.29,0.18,1.118,2.29,win,2023-06-23 09:55:46,
98,2023-06-23 03:15:11,ARBUSDT,5m,long,1.95,1.096,1.117,1.087,1.86,0.83,1.118,1.091,2.01,0.46,1.118,2.01,win,2023-06-23 09:55:47,
99,2023-06-23 03:20:32,LUNAUSDT,5m,long,1.31,0.6519,0.6637,0.6439,1.8,1.23,0.654,0.6437,0.32,1.26,0.644,-1.21,loss,2023-06-23 03:34:17,
100,2023-06-23 03:35:26,ETCUSDT,5m,long,1.03,16.89,17.25,16.566,2.13,1.92,17.28,16.77,2.31,0.71,17.28,2.31,win,2023-06-23 18:42:14,
101,2023-06-23 03:40:10,LUNCUSDT,5m,long,1.55,9.207e-05,9.287e-05,9.167e-05,0.87,0.43,9.299e-05,9.207e-05,1.0,0.0,9.282e-05,0.81,win,2023-06-23 03:49:18,
102,2023-06-23 04:20:10,ARBUSDT,5m,long,1.62,1.101,1.117,1.092,1.53,0.82,1.104,1.091,0.27,0.91,1.093,-0.73,loss,2023-06-23 05:12:13,
103,2023-06-23 04:25:31,NEARUSDT,5m,long,1.05,1.338,1.36,1.319,1.67,1.43,1.361,1.32,1.72,1.35,1.361,1.72,win,2023-06-23 18:07:24,
104,2023-06-23 04:35:14,LTCUSDT,5m,short,2.68,86.48,84.584,87.092,2.19,0.71,85.53,87.2,1.1,0.83,87.19,-0.82,loss,2023-06-23 12:03:16,
105,2023-06-23 04:50:37,FILUSDT,5m,short,1.1,3.946,3.912,3.971,0.87,0.64,3.926,3.973,0.51,0.68,3.972,-0.66,loss,2023-06-23 09:56:16,
106,2023-06-23 04:55:26,MASKUSDT,5m,short,2.16,3.761,3.674,3.797,2.32,0.96,3.663,3.78,2.61,0.51,3.67,2.42,win,2023-06-23 15:39:23,
107,2023-06-23 04:55:33,LINAUSDT,5m,short,1.84,0.01389,0.01346,0.01411,3.12,1.57,0.01383,0.01412,0.43,1.66,0.01412,-1.66,loss,2023-06-23 11:01:16,
108,2023-06-23 05:00:18,OPUSDT,5m,short,2.06,1.365,1.339,1.376,1.88,0.79,1.357,1.383,0.59,1.32,1.383,-1.32,loss,2023-06-23 09:55:58,
109,2023-06-23 05:00:32,LINAUSDT,5m,short,4.91,0.01388,0.01346,0.01395,3.06,0.53,0.01383,0.01406,0.36,1.3,0.01406,-1.3,loss,2023-06-23 09:55:54,
110,2023-06-23 05:10:06,BTCUSDT,5m,short,1.29,29853.85,29591.258,30015.082,0.88,0.54,29800.0,30030.0,0.18,0.59,30025.44,-0.57,loss,2023-06-23 09:59:13,
